Animal Welfare & Control,Waste Management Planning,Land Drainage,Collection of Charges,Housing & Building,"Waste Regulations, Monitoring & Enforcement",Safety of Structures & Places,Landfill Operation & Aftercare,Franchise Costs,Community Sport & Recreational Development,Maintenance of Local Authority Housing,Waste Water Treatment,Local Representatives,Tourism Development & Promotion,Arts Council,Agriculture Fisheries and Food,Planning Fees,Clean Streets,Stores,Fire Services,Commercial Refuse,Enforcement & Building Control,Social Housing Administration and Development,Housing Grants,Coastal Protection,Water Supply,Road Maintenance,Agency and Recoupable Services,Operation of Markets & Casual Trading,Development Management,"Jobs, Enterprise and Innovation",County,Separate Charges,Housing Loans,Arts Programme,Social Protection,NPPR,General Purpose Grant,Fire Prevention,Water,Property Management,Support to Roads Capital Programme,Population,Local Economic Development,Outdoor Leisure Areas,Machinery,Environmental Services,County Charge,Waste to Energy Facilities,Landfill Charges,Housing Loans Interest & Charges,Morgue & Coroner Expenses,Local Authority Contributions,Recovery & Recycling Facilities,Support to Water Capital Programme,Public Conveniences,Administration of Rates,Environment,Car Parking,Traffic Management,Rates,Sale/leasing of other property / Industrial Sites,Administration of Homeless Service,Support to Housing Capital Programme,Agency Services & Repayable Works,"Water Quality, Air & Noise Pollution",Recreation / Amenity / Culture,Justice Equality and Law Reform,Motor Taxation,Misc. (Detail),Provision of Waste to Collection Services,"Arts, Heritage & Gaeltacht","Transport, Tourism & Sport",Grants & Subsidies,Total Income,Public Lighting,Road Transport & Safety,Libraries,Rents from Houses,Goods & Services,Piers & Harbours,NTA,Water Services,Defence,Fire Charges,Superannuation,Rental Accommodation Scheme and Leasing Programme,Other,Heritage & Conservation Services,Admininstration of Group and Private Installations,Educational Support Services,Unfinished Housing Estates,Malicious Damage,Total Expenditure,Library Council,Pension-Related Deduction,Burial Grounds Maintenance,Domestic Refuse,Education and Skills,Parking Fines/Charges,Road Safety & Promotion,Recreation & Amenity,NRA,Weighbridges,Library Fees/Fines,Provision for Debit Balance,Leisure Facilities,Provision for Credit Balance
128398.0,74842.0,24500.0,517601.0,17139694.0,339645.0,268615.0,337575.0,213810.0,1712749.0,5094960.0,4421117.0,1172563.0,240701.0,25000.0,0.0,284600.0,2528150.0,55939.0,4228382.0,0.0,358296.0,1566973.0,332112.0,0.0,5180079.0,7152629.0,1314074.0,33976.0,968317.0,0.0,Galway City,0.0,1597956.0,3946151.0,0.0,255000.0,1626429.0,0.0,10294726.0,165525.0,24762.0,75529.0,1483548.0,2754047.0,85998.0,9681046.0,0.0,0.0,0.0,631000.0,180000.0,100000.0,319496.0,120199.0,149477.0,7848034.0,7230553.0,1428102.0,5256586.0,35065099.0,95300.0,1835566.0,665315.0,121182.0,111181.0,3804892.0,0.0,0.0,801476.0,706707.0,0.0,0.0,14933078.0,80711956.0,1626403.0,16044541.0,1584739.0,7545900.0,28140079.0,0.0,3796000.0,10800954.0,0.0,0.0,730003.0,6046812.0,552328.0,226159.0,50000.0,69572.0,117201.0,0.0,80711956.0,0.0,947271.0,601477.0,12000.0,0.0,3464000.0,468733.0,12359110.0,3329197.0,0.0,0.0,0.0,2080072.0,0.0
794148.0,42000.0,99205.0,1239436.0,15847207.0,542189.0,727892.0,3063076.0,324816.0,233446.0,3194610.0,2905660.0,1545926.0,536888.0,25000.0,0.0,331000.0,475935.0,0.0,5285745.0,0.0,1543641.0,1633808.0,2098826.0,25000.0,7154321.0,23436508.0,1783277.0,3327.0,2384162.0,334000.0,Kerry,0.0,1219145.0,297083.0,0.0,525000.0,9877123.0,648257.0,12100166.0,59061.0,2279065.0,145502.0,2182338.0,720920.0,0.0,13608808.0,6330697.0,0.0,1609400.0,740000.0,384393.0,767650.0,939940.0,1001800.0,581188.0,3467761.0,8634652.0,530906.0,22554.0,21050000.0,74200.0,833095.0,1030196.0,733769.0,922439.0,0.0,0.0,1623539.0,6735460.0,0.0,7000.0,0.0,26657494.0,98775340.0,1107962.0,28161861.0,3454292.0,6497690.0,32510026.0,1118036.0,0.0,15025749.0,120000.0,322220.0,1939471.0,5837527.0,599200.0,371660.0,1945539.0,3178796.0,0.0,0.0,98775340.0,0.0,2350000.0,961335.0,0.0,2995700.0,56000.0,423192.0,4705741.0,13941942.0,0.0,78000.0,0.0,0.0,0.0
557851.0,85135.0,300709.0,478038.0,21685363.0,3266994.0,472789.0,961359.0,399521.0,310776.0,3803619.0,12309932.0,1900983.0,118000.0,0.0,0.0,602175.0,2786073.0,0.0,5307930.0,0.0,1103265.0,1749736.0,2642996.0,0.0,10741508.0,12948539.0,1171733.0,10000.0,3214818.0,0.0,Kildare,0.0,2887853.0,752102.0,0.0,0.0,9347000.0,504115.0,24597000.0,0.0,2623255.0,210312.0,2260388.0,552725.0,0.0,14071882.0,3077632.0,0.0,0.0,1886000.0,307493.0,188838.0,103836.0,1173045.0,70000.0,12695336.0,10207296.0,1527736.0,855665.0,47660163.0,142000.0,1108925.0,3810682.0,66000.0,35000.0,380000.0,5000.0,2321335.0,4922540.0,0.0,40000.0,0.0,20153887.0,123037551.0,3363082.0,22184418.0,5417234.0,4800000.0,40874253.0,0.0,4943380.0,25178416.0,85000.0,390000.0,1077000.0,5681552.0,446875.0,447803.0,405893.0,4480004.0,602485.0,1000.0,123037551.0,0.0,1924616.0,548651.0,0.0,3992377.0,1702700.0,811852.0,7887373.0,433959.0,6411.0,120000.0,0.0,854536.0,0.0
477600.0,52800.0,30200.0,467800.0,11354000.0,319200.0,173000.0,390400.0,239700.0,15100.0,2045500.0,4525800.0,1039600.0,430100.0,0.0,0.0,216000.0,774000.0,0.0,3861100.0,0.0,484000.0,1042800.0,1427900.0,0.0,6892500.0,11908700.0,278200.0,0.0,1246900.0,0.0,Kilkenny,0.0,1727300.0,332300.0,0.0,25000.0,8477700.0,310000.0,12015100.0,57500.0,359100.0,95419.0,1440500.0,662100.0,0.0,7036500.0,1760000.0,700.0,460000.0,1381000.0,73900.0,77000.0,731100.0,336100.0,106700.0,2608500.0,13790100.0,2100.0,27500.0,12119800.0,9400.0,503800.0,506300.0,0.0,253700.0,0.0,0.0,957800.0,1094700.0,200.0,60000.0,316400.0,16371700.0,61298300.0,909200.0,13778600.0,2745100.0,4900000.0,21369100.0,0.0,0.0,13576000.0,48000.0,350000.0,800000.0,4066100.0,70500.0,421100.0,1205300.0,1428400.0,50200.0,0.0,61298300.0,12700.0,1200000.0,152900.0,0.0,1260500.0,0.0,72100.0,3960500.0,813500.0,4900.0,40900.0,0.0,205600.0,0.0
491439.0,66834.0,214040.0,133778.0,10897117.0,461300.0,343176.0,1742106.0,225554.0,445863.0,2869627.0,2031549.0,1039057.0,343422.0,50100.0,0.0,190000.0,884420.0,10077.0,3175258.0,0.0,524742.0,934951.0,1348900.0,0.0,2839993.0,9956554.0,1895009.0,3229.0,1044948.0,500000.0,Laois,0.0,2244521.0,935286.0,0.0,0.0,7631324.0,279645.0,4886000.0,91425.0,556335.0,80559.0,1551276.0,273410.0,562472.0,7536426.0,0.0,0.0,307000.0,2637000.0,112868.0,281050.0,161262.0,149079.0,56608.0,2705647.0,3919400.0,309331.0,155731.0,12024000.0,0.0,55291.0,1498442.0,695000.0,241479.0,0.0,8500.0,728237.0,2843450.0,0.0,0.0,0.0,14163400.0,53931000.0,996273.0,13641909.0,1926526.0,5162000.0,18588500.0,0.0,0.0,5297866.0,75000.0,250000.0,682000.0,1775286.0,1528000.0,158094.0,85377.0,879781.0,249215.0,0.0,53931000.0,0.0,970000.0,180946.0,0.0,758000.0,585000.0,643010.0,3727150.0,7324400.0,0.0,70000.0,0.0,26065.0,553776.0
362341.0,50726.0,56134.0,149160.0,3916051.0,262771.0,261781.0,215903.0,85211.0,343018.0,1552359.0,1125822.0,946351.0,289477.0,0.0,0.0,133400.0,126746.0,0.0,1962316.0,0.0,303009.0,493464.0,366236.0,0.0,1175715.0,10786469.0,153120.0,267.0,674271.0,295000.0,Leitrim,0.0,186749.0,754663.0,0.0,70000.0,8282319.0,176228.0,2671697.0,0.0,388102.0,31798.0,1479769.0,434750.0,582025.0,3752815.0,0.0,0.0,0.0,71700.0,52060.0,50000.0,266084.0,185041.0,4930.0,867510.0,1441807.0,85492.0,142507.0,5176674.0,5000.0,37207.0,671900.0,10000.0,336395.0,20000.0,0.0,404037.0,1808686.0,26937.0,79300.0,0.0,12086736.0,34050000.0,290844.0,13139135.0,1403028.0,2086428.0,7739271.0,0.0,0.0,2997967.0,82479.0,120000.0,564460.0,604356.0,286000.0,21699.0,234055.0,636848.0,188170.0,0.0,34050000.0,0.0,765000.0,42805.0,0.0,594776.0,97900.0,577669.0,3141733.0,9307374.0,0.0,30000.0,0.0,206207.0,0.0
1105297.0,1184361.0,181121.0,1682159.0,28848354.0,998867.0,596451.0,6284089.0,463536.0,326279.0,7430873.0,9330634.0,2454390.0,1803180.0,238500.0,0.0,576465.0,5502575.0,214812.0,14968549.0,0.0,1299333.0,2818492.0,2482363.0,0.0,15933335.0,23045009.0,1761303.0,12050.0,2675917.0,563837.0,Limerick,0.0,1220396.0,1404276.0,156296.0,200680.0,14610000.0,672861.0,26781999.0,723616.0,339676.0,191809.0,3781009.0,2258541.0,3384095.0,38047049.0,0.0,225000.0,5353000.0,792724.0,425634.0,5689135.0,792077.0,343275.0,138663.0,10523483.0,17468487.0,1379856.0,1148051.0,53676855.0,274368.0,3183177.0,1642635.0,124947.0,1502257.0,0.0,70000.0,1803939.0,10595738.0,742753.0,0.0,0.0,34170629.0,173156191.0,2737053.0,30943153.0,5177965.0,12383000.0,67784476.0,0.0,0.0,29097161.0,78000.0,735870.0,2200000.0,8974196.0,329824.0,208764.0,1408624.0,2759173.0,103375.0,30000.0,173156191.0,0.0,2914231.0,1272030.0,0.0,2187000.0,2053550.0,1833826.0,9882156.0,13078685.0,9869.0,23000.0,0.0,715095.0,0.0
345589.0,22660.0,32545.0,510825.0,6953032.0,563306.0,175006.0,22026.0,249458.0,247245.0,2149233.0,3354289.0,1345764.0,38592.0,22500.0,0.0,64440.0,1069922.0,51170.0,2137369.0,0.0,465211.0,1384289.0,392644.0,0.0,4983946.0,8046700.0,827477.0,0.0,781629.0,697251.0,Longford,0.0,508406.0,214353.0,0.0,750000.0,8119493.0,251854.0,9599770.0,1408.0,156621.0,39000.0,1911018.0,201543.0,113471.0,4829902.0,0.0,0.0,0.0,407376.0,66854.0,747008.0,89712.0,441922.0,34030.0,2555622.0,1729831.0,758387.0,102372.0,8296051.0,19800.0,249381.0,790746.0,4000.0,222456.0,61900.0,0.0,376660.0,668747.0,0.0,125000.0,0.0,8899724.0,44878434.0,619286.0,9988391.0,1541038.0,4831853.0,18803254.0,0.0,0.0,10222242.0,56000.0,17000.0,628886.0,1472024.0,741700.0,120117.0,263029.0,408745.0,536731.0,0.0,44878434.0,0.0,759912.0,247520.0,0.0,350000.0,977474.0,294455.0,2475431.0,5177442.0,0.0,25000.0,23896.0,266934.0,0.0
547676.0,169094.0,0.0,528185.0,19217598.0,546115.0,364046.0,439927.0,386282.0,1220084.0,7041854.0,9114794.0,1780620.0,278206.0,0.0,0.0,390000.0,3098828.0,162537.0,10720669.0,0.0,995583.0,2091944.0,2363749.0,182735.0,13869920.0,12710391.0,490441.0,65466.0,2489090.0,0.0,Louth,0.0,1378396.0,1773696.0,65000.0,50000.0,7307231.0,312193.0,18494876.0,36588.0,414647.0,122897.0,5313668.0,1375624.0,1342755.0,18661025.0,101300.0,32824.0,0.0,335900.0,217610.0,12514664.0,948154.0,828681.0,275396.0,6906232.0,9682264.0,1255928.0,577328.0,33263366.0,61915.0,1435837.0,2022987.0,25000.0,1311102.0,142000.0,5000.0,945311.0,5514888.0,6900.0,40000.0,75000.0,22057059.0,115244449.0,2040229.0,18919634.0,2805586.0,9288000.0,51015493.0,216860.0,0.0,25212244.0,90000.0,380250.0,1297000.0,2803585.0,2368932.0,247024.0,110770.0,2940236.0,250084.0,5000.0,115244449.0,25000.0,1500000.0,711173.0,0.0,2501221.0,2461000.0,1037828.0,7430344.0,7204642.0,3600.0,60000.0,0.0,255354.0,0.0
824515.0,313363.0,66410.0,1339060.0,16074426.0,351704.0,566110.0,4224991.0,422987.0,723454.0,2121713.0,8580791.0,1642311.0,100000.0,101820.0,0.0,290000.0,1016752.0,0.0,5041151.0,0.0,699478.0,1031762.0,2861194.0,63080.0,11424216.0,28627594.0,3815466.0,20172.0,2201429.0,1130000.0,Mayo,0.0,1795538.0,1536738.0,350000.0,625000.0,16399484.0,618023.0,22655781.0,0.0,1810243.0,130638.0,4411108.0,847966.0,0.0,19120404.0,1607167.0,0.0,2900000.0,1434075.0,238167.0,2443800.0,195448.0,1774641.0,60916.0,3288870.0,12135562.0,1024510.0,154410.0,17450776.0,60000.0,169492.0,1596908.0,3085000.0,714139.0,480000.0,2000.0,1387100.0,9026920.0,0.0,281000.0,0.0,41334343.0,130060146.0,1312730.0,34903156.0,3054850.0,4880000.0,51116876.0,602125.0,0.0,27371082.0,111000.0,360000.0,1528000.0,6497819.0,1054493.0,173105.0,4120167.0,4325520.0,178936.0,0.0,130060146.0,0.0,2151500.0,638528.0,0.0,4000000.0,1273300.0,395747.0,7691274.0,22168468.0,0.0,75000.0,0.0,1528266.0,0.0
